hs_object_id,name,domain,industry,hubspot_owner_id,createdate,hs_lastmodifieddate,properties
HS-COMP-000102,Prime Digital 102,client102.example.com,Healthcare,HS-OWN-0004,2024-05-28 01:51:38,2025-09-13 11:36:39,"{""service_line_tags"":[""Social"",""Content""],""contract_type"":""Project"",""retainer_value"":16443.48,""renewal_date"":""2024-11-24""}"
HS-COMP-000103,Bright Digital 103,client103.example.com,Healthcare,HS-OWN-0002,2025-03-19 16:47:56,2025-06-26 20:36:58,"{""service_line_tags"":[""Content"",""Email""],""contract_type"":""Hybrid"",""retainer_value"":2711.44,""renewal_date"":""2026-03-19""}"
HS-COMP-000104,Bright Retail 104,client104.example.com,FinTech,HS-OWN-0008,2024-11-15 02:25:23,2026-03-26 09:06:13,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Project"",""retainer_value"":18032.05,""renewal_date"":""2025-11-15""}"
HS-COMP-000105,Bright Labs 105,client105.example.com,E-commerce,HS-OWN-0007,2025-01-17 22:55:46,2025-10-23 18:24:47,"{""service_line_tags"":[""SEO"",""Email""],""contract_type"":""Hybrid"",""retainer_value"":9157.13,""renewal_date"":""2027-01-17""}"
HS-COMP-000106,North Digital 106,client106.example.com,E-commerce,HS-OWN-0006,2026-01-28 15:48:32,2026-02-02 10:05:24,"{""service_line_tags"":[""Social""],""contract_type"":""Hybrid"",""retainer_value"":19266.37,""renewal_date"":""2027-01-28""}"
HS-COMP-000107,North Labs 107,client107.example.com,Real Estate,HS-OWN-0001,2024-08-22 10:06:03,2025-12-17 16:21:03,"{""service_line_tags"":[""Analytics"",""Web Dev""],""contract_type"":""Project"",""retainer_value"":17749.7,""renewal_date"":""2026-08-22""}"
HS-COMP-000108,Bright Health 108,client108.example.com,Real Estate,HS-OWN-0007,2024-04-22 15:44:37,2025-07-16 19:46:56,"{""service_line_tags"":[""Paid Media""],""contract_type"":""Project"",""retainer_value"":18978.09,""renewal_date"":""2024-10-19""}"
HS-COMP-000109,Nova Digital 109,client109.example.com,Retail,HS-OWN-0003,2024-07-08 09:25:15,2026-03-11 07:04:56,"{""service_line_tags"":[""Analytics"",""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":22220.36,""renewal_date"":""2025-07-08""}"
HS-COMP-000110,Prime Labs 110,client110.example.com,Healthcare,HS-OWN-0004,2025-12-14 03:49:08,2026-02-09 11:16:39,"{""service_line_tags"":[""Social"",""Analytics"",""Web Dev""],""contract_type"":""Hybrid"",""retainer_value"":22083.93,""renewal_date"":""2026-06-12""}"
HS-COMP-000111,Blue Health 111,client111.example.com,EdTech,HS-OWN-0002,2026-01-13 15:36:13,2026-03-08 18:14:10,"{""service_line_tags"":[""Content"",""Social""],""contract_type"":""Project"",""retainer_value"":4531.81,""renewal_date"":""2027-01-13""}"
HS-COMP-000112,Bright Labs 112,client112.example.com,Real Estate,HS-OWN-0004,2025-10-30 12:22:19,2026-03-10 01:42:25,"{""service_line_tags"":[""SEO"",""Email""],""contract_type"":""Project"",""retainer_value"":15652.6,""renewal_date"":""2027-10-30""}"
HS-COMP-000113,Blue Capital 113,client113.example.com,Real Estate,HS-OWN-0005,2026-02-12 13:06:57,2026-03-11 19:12:10,"{""service_line_tags"":[""Web Dev"",""SEO"",""Paid Media""],""contract_type"":""Project"",""retainer_value"":23093.26,""renewal_date"":""2026-08-11""}"
HS-COMP-000114,Blue Retail 114,client114.example.com,EdTech,HS-OWN-0003,2024-05-01 23:06:34,2024-05-30 20:47:37,"{""service_line_tags"":[""Web Dev"",""Content""],""contract_type"":""Project"",""retainer_value"":24908.37,""renewal_date"":""2024-10-28""}"
HS-COMP-000115,Prime Labs 115,client115.example.com,E-commerce,HS-OWN-0008,2025-08-30 12:33:10,2026-02-09 07:05:50,"{""service_line_tags"":[""Web Dev"",""Content"",""SEO""],""contract_type"":""Hybrid"",""retainer_value"":19201.05,""renewal_date"":""2026-02-26""}"
HS-COMP-000116,Bright Labs 116,client116.example.com,Real Estate,HS-OWN-0006,2025-09-14 21:32:53,2025-11-25 20:20:34,"{""service_line_tags"":[""Social"",""Content"",""SEO""],""contract_type"":""Retainer"",""retainer_value"":12476.12,""renewal_date"":""2026-03-13""}"
HS-COMP-000117,Blue Retail 117,client117.example.com,Real Estate,HS-OWN-0010,2025-01-30 23:38:41,2025-09-02 06:26:51,"{""service_line_tags"":[""SEO""],""contract_type"":""Retainer"",""retainer_value"":24284.65,""renewal_date"":""2026-01-30""}"
HS-COMP-000118,North Labs 118,client118.example.com,E-commerce,HS-OWN-0009,2025-11-28 20:41:53,2026-02-01 14:57:48,"{""service_line_tags"":[""Email""],""contract_type"":""Retainer"",""retainer_value"":24748.47,""renewal_date"":""2027-11-28""}"
HS-COMP-000119,Blue Health 119,client119.example.com,E-commerce,HS-OWN-0003,2024-09-11 11:24:31,2025-03-11 10:49:07,"{""service_line_tags"":[""Email""],""contract_type"":""Project"",""retainer_value"":19923.29,""renewal_date"":""2026-09-11""}"
HS-COMP-000120,North Labs 120,client120.example.com,Retail,HS-OWN-0004,2024-10-08 10:19:00,2025-02-20 23:10:43,"{""service_line_tags"":[""Content"",""SEO"",""Paid Media""],""contract_type"":""Retainer"",""retainer_value"":17373.8,""renewal_date"":""2025-04-06""}"
